city,city_ascii,state_id
New York,New York,NY
New York City,New York City,NY
Los Angeles,Los Angeles,CA
Chicago,Chicago,IL
Miami,Miami,FL
Dallas,Dallas,TX
Houston,Houston,TX
Philadelphia,Philadelphia,PA
Atlanta,Atlanta,GA
Washington,Washington,DC
Boston,Boston,MA
Phoenix,Phoenix,AZ
Detroit,Detroit,MI
Seattle,Seattle,WA
San Francisco,San Francisco,CA
San Diego,San Diego,CA
Minneapolis,Minneapolis,MN
Brooklyn,Brooklyn,NY
Tampa,Tampa,FL
Denver,Denver,CO
Queens,Queens,NY
Baltimore,Baltimore,MD
Las Vegas,Las Vegas,NV
St. Louis,St. Louis,MO
Portland,Portland,OR
Riverside,Riverside,CA
Orlando,Orlando,FL
Sacramento,Sacramento,CA
San Juan,San Juan,PR
San Antonio,San Antonio,TX
San Jose,San Jose,CA
Pittsburgh,Pittsburgh,PA
Cincinnati,Cincinnati,OH
Manhattan,Manhattan,NY
Cleveland,Cleveland,OH
Indianapolis,Indianapolis,IN
Austin,Austin,TX
Kansas City,Kansas City,MO
Columbus,Columbus,OH
Charlotte,Charlotte,NC
Virginia Beach,Virginia Beach,VA
Bronx,Bronx,NY
Milwaukee,Milwaukee,WI
Providence,Providence,RI
Jacksonville,Jacksonville,FL
Salt Lake City,Salt Lake City,UT
Nashville,Nashville,TN
Raleigh,Raleigh,NC
Memphis,Memphis,TN
Louisville,Louisville,KY
Richmond,Richmond,VA
Buffalo,Buffalo,NY
Oklahoma City,Oklahoma City,OK
Bridgeport,Bridgeport,CT
New Orleans,New Orleans,LA
Fort Worth,Fort Worth,TX
Hartford,Hartford,CT
Tucson,Tucson,AZ
Honolulu,Honolulu,HI
McAllen,McAllen,TX
Omaha,Omaha,NE
El Paso,El Paso,TX
Albuquerque,Albuquerque,NM
Rochester,Rochester,NY
Sarasota,Sarasota,FL
Fresno,Fresno,CA
Tulsa,Tulsa,OK
Allentown,Allentown,PA
Dayton,Dayton,OH
Birmingham,Birmingham,AL
Charleston,Charleston,SC
Cape Coral,Cape Coral,FL
Columbia,Columbia,SC
